Time (sec),Ti575 Flash Thickness,Ti64 Flash Thickness,,Time (sec),Oscillation stroke 
,,,,0.684,0.273726
,,,,0.685,0.805573
,,,,0.686,1.25644
,,,,0.687,1.60737
,,,,0.688,1.832623
,,,,0.689,1.888277
,,,,0.69,1.799815
,,,,0.691,1.591651
,,,,0.692,1.261944
,,,,0.693,0.841677
,,,,0.694,0.333335
,,,,0.695,-0.20711
,,,,0.696,-0.74807
,,,,0.697,-1.23735
,,,,0.698,-1.64331
,,,,0.699,-1.9252
,,,,0.7,-2.02558
,,,,0.701,-1.9488
,,,,0.702,-1.70963
,,,,0.703,-1.36784
,,,,0.704,-0.9281
,,,,0.705,-0.42746
,,,,0.706,0.128148
,,,,0.707,0.675479
,,,,0.708,1.127836
,,,,0.709,1.518796
,,,,0.71,1.794157
,,,,0.711,1.902098
,,,,0.712,1.850692
,,,,0.713,1.667607
,,,,0.714,1.374679
,,,,0.715,0.979849
,,,,0.716,0.465721
,,,,0.717,-0.0661
,,,,0.718,-0.62209
,,,,0.719,-1.13283
,,,,0.72,-1.56068
,,,,0.721,-1.89338
,,,,0.722,-2.02995
,,,,0.723,-1.99006
,,,,0.724,-1.79115
,,,,0.725,-1.45318
,,,,0.726,-1.01493
,,,,0.727,-0.52938
,,,,0.728,0.030568
,,,,0.729,0.587601
,,,,0.73,1.076964
,,,,0.731,1.476849
,,,,0.732,1.784971
,,,,0.733,1.937662
,,,,0.734,1.910889
,,,,0.735,1.737672
,,,,0.736,1.454007
,,,,0.737,1.085236
,,,,0.738,0.609289
,,,,0.739,0.058828
,,,,0.74,-0.51142
,,,,0.741,-1.02456
,,,,0.742,-1.47057
,,,,0.743,-1.83244
,,,,0.744,-2.02125
,,,,0.745,-2.00239
,,,,0.746,-1.83881
,,,,0.747,-1.53188
,,,,0.748,-1.11015
,,,,0.749,-0.61297
,,,,0.75,-0.072
,,,,0.751,0.472717
,,,,0.752,1.004989
,,,,0.753,1.426061
,,,,0.754,1.704648
,,,,0.755,1.891033
,,,,0.756,1.91275
,,,,0.757,1.738871
,,,,0.758,1.490702
,,,,0.759,1.135599
,,,,0.76,0.702213
,,,,0.761,0.183787
,,,,0.762,-0.36532
,,,,0.763,-0.90044
,,,,0.764,-1.35285
,,,,0.765,-1.73943
,,,,0.766,-1.9698
,,,,0.767,-2.00682
,,,,0.768,-1.86604
,,,,0.769,-1.58692
,,,,0.77,-1.2273
,,,,0.771,-0.73944
,,,,0.772,-0.19387
,,,,0.773,0.333656
,,,,0.774,0.873127
,,,,0.775,1.310686
,,,,0.776,1.646651
,,,,0.777,1.869571
,,,,0.778,1.873612
,,,,0.779,1.767409
,,,,0.78,1.557248
,,,,0.781,1.224685
,,,,0.782,0.808557
,,,,0.783,0.314837
,,,,0.784,-0.2049
,,,,0.785,-0.73665
,,,,0.786,-1.22959
,,,,0.787,-1.6229
,,,,0.788,-1.91284
,,,,0.789,-2.01024
,,,,0.79,-1.9117
,,,,0.791,-1.67389
,,,,0.792,-1.31251
,,,,0.793,-0.84876
,,,,0.794,-0.33933
,,,,0.795,0.229364
,,,,0.796,0.775856
,,,,0.797,1.224882
